cert_id,certification_name,category,required_count,requirement_type,requirement_condition,validity_period,renewal_notice,penalty_if_absent,priority,check_timing,notes
QC001,食品衛生責任者,衛生管理,1,営業時必須,全営業時間帯,なし,なし,営業停止命令・改善命令,CRITICAL,日次シフト,各店舗に1名選任必要
QC002,防火管理者（甲種）,防災,1,条件付き必須,収容人数30名以上かつ延床面積300㎡以上,なし,なし,消防法違反・30万円以下罰金,CRITICAL,月次確認,消防計画作成・訓練実施責任
QC003,防火管理者（乙種）,防災,1,条件付き必須,収容人数30名以上かつ延床面積300㎡未満,なし,なし,消防法違反・30万円以下罰金,CRITICAL,月次確認,小規模店舗向け
QC004,酒類販売管理者,販売許可,1,条件付き必須,酒類販売を行う場合,3年,6ヶ月前,酒類販売免許取消,HIGH,月次確認,選任義務・研修受講必要
QC005,調理師免許,調理,1,推奨,調理業務の品質保証,なし,なし,なし,MEDIUM,採用時,あると信頼性向上
QC006,栄養士・管理栄養士,栄養管理,1,推奨,特定給食施設等,なし,なし,なし,LOW,採用時,メニュー開発に有利
QC007,第一種衛生管理者,労働安全,1,条件付き必須,常時50人以上の事業場,なし,なし,労働安全衛生法違反,HIGH,年次確認,本部で選任可
QC008,食品衛生管理者,衛生管理,1,条件付き必須,特定の食品製造・加工業,なし,なし,営業許可取消,CRITICAL,月次確認,乳製品・食肉製品等の場合
QC009,危険物取扱者（乙種4類）,危険物,1,条件付き必須,厨房用燃料を一定量以上保管,10年,1年前,消防法違反,MEDIUM,年次確認,ガソリン・軽油・重油等
QC010,普通自動車運転免許,配送,2,推奨,配達・仕入れ業務,3-5年,6ヶ月前,なし,LOW,採用時,配達対応可能者確保