date,year,month,day,day_of_week,weather_condition,temperature_high,temperature_low,temperature_avg,precipitation_mm,humidity_percent,wind_speed_ms,notes
2023-11-01,2023,11,1,水,晴れ,18,10,14,0,55,2.5,秋晴れ
2023-11-02,2023,11,2,木,曇り,17,11,14,0,60,3.0,
2023-11-03,2023,11,3,金,晴れ,19,9,14,0,50,2.0,文化の日
2023-11-04,2023,11,4,土,晴れ,20,10,15,0,52,2.5,
2023-11-05,2023,11,5,日,曇り,18,12,15,0,65,3.5,
2023-11-06,2023,11,6,月,雨,16,13,14.5,15,75,4.0,
2023-11-07,2023,11,7,火,曇り,17,11,14,2,70,3.0,
2023-11-08,2023,11,8,水,晴れ,19,10,14.5,0,55,2.5,
2023-11-09,2023,11,9,木,晴れ,20,9,14.5,0,50,2.0,
2023-11-10,2023,11,10,金,晴れ,21,10,15.5,0,48,2.5,
2023-11-11,2023,11,11,土,曇り,19,11,15,0,60,3.0,
2023-11-12,2023,11,12,日,晴れ,18,9,13.5,0,55,2.5,
2023-11-13,2023,11,13,月,晴れ,17,8,12.5,0,52,2.0,
2023-11-14,2023,11,14,火,曇り,16,10,13,0,65,3.5,
2023-11-15,2023,11,15,水,雨,15,11,13,10,80,4.0,
2023-11-16,2023,11,16,木,曇り,16,10,13,1,70,3.0,
2023-11-17,2023,11,17,金,晴れ,17,9,13,0,58,2.5,
2023-11-18,2023,11,18,土,晴れ,18,8,13,0,55,2.0,
2023-11-19,2023,11,19,日,晴れ,19,9,14,0,52,2.5,
2023-11-20,2023,11,20,月,曇り,17,10,13.5,0,62,3.0,
2023-11-21,2023,11,21,火,晴れ,16,8,12,0,58,2.5,
2023-11-22,2023,11,22,水,晴れ,15,7,11,0,55,2.0,
2023-11-23,2023,11,23,木,晴れ,16,8,12,0,52,2.5,勤労感謝の日
2023-11-24,2023,11,24,金,曇り,17,9,13,0,60,3.0,
2023-11-25,2023,11,25,土,雨,15,11,13,12,75,4.0,
2023-11-26,2023,11,26,日,曇り,14,9,11.5,2,70,3.5,
2023-11-27,2023,11,27,月,晴れ,15,7,11,0,58,2.5,
2023-11-28,2023,11,28,火,晴れ,14,6,10,0,55,2.0,
2023-11-29,2023,11,29,水,晴れ,13,5,9,0,52,2.5,
2023-11-30,2023,11,30,木,曇り,14,7,10.5,0,60,3.0,
2023-12-01,2023,12,1,金,晴れ,12,4,8,0,50,2.0,
2023-12-02,2023,12,2,土,晴れ,13,5,9,0,52,2.5,
2023-12-03,2023,12,3,日,曇り,14,6,10,0,58,3.0,
2023-12-04,2023,12,4,月,雨,11,8,9.5,8,75,3.5,
2023-12-05,2023,12,5,火,曇り,12,6,9,1,65,3.0,
2023-12-06,2023,12,6,水,晴れ,13,4,8.5,0,55,2.5,
2023-12-07,2023,12,7,木,晴れ,14,5,9.5,0,52,2.0,
2023-12-08,2023,12,8,金,晴れ,15,6,10.5,0,50,2.5,
2023-12-09,2023,12,9,土,曇り,13,7,10,0,60,3.0,
2023-12-10,2023,12,10,日,晴れ,12,4,8,0,55,2.5,
2023-12-11,2023,12,11,月,晴れ,11,3,7,0,52,2.0,
2023-12-12,2023,12,12,火,曇り,12,5,8.5,0,60,3.0,
2023-12-13,2023,12,13,水,雨,10,6,8,10,78,3.5,
2023-12-14,2023,12,14,木,曇り,11,5,8,2,70,3.0,
2023-12-15,2023,12,15,金,晴れ,12,3,7.5,0,55,2.5,
2023-12-16,2023,12,16,土,晴れ,13,4,8.5,0,52,2.0,
2023-12-17,2023,12,17,日,晴れ,14,5,9.5,0,50,2.5,
2023-12-18,2023,12,18,月,曇り,12,6,9,0,62,3.0,
2023-12-19,2023,12,19,火,晴れ,11,3,7,0,58,2.5,
2023-12-20,2023,12,20,水,晴れ,10,2,6,0,55,2.0,
2023-12-21,2023,12,21,木,曇り,11,4,7.5,0,60,3.0,
2023-12-22,2023,12,22,金,雪,8,1,4.5,5,80,3.5,初雪
2023-12-23,2023,12,23,土,曇り,9,2,5.5,0,72,3.0,
2023-12-24,2023,12,24,日,晴れ,10,1,5.5,0,58,2.5,クリスマスイブ
2023-12-25,2023,12,25,月,晴れ,11,2,6.5,0,55,2.0,クリスマス
2023-12-26,2023,12,26,火,曇り,10,3,6.5,0,62,3.0,
2023-12-27,2023,12,27,水,晴れ,9,1,5,0,58,2.5,
2023-12-28,2023,12,28,木,晴れ,8,0,4,0,55,2.0,
2023-12-29,2023,12,29,金,曇り,9,2,5.5,0,60,3.0,
2023-12-30,2023,12,30,土,晴れ,10,1,5.5,0,55,2.5,
2023-12-31,2023,12,31,日,晴れ,11,2,6.5,0,52,2.0,大晦日
2024-01-01,2024,1,1,月,晴れ,10,0,5,0,50,2.5,元日
2024-01-02,2024,1,2,火,晴れ,11,1,6,0,52,2.0,
2024-01-03,2024,1,3,水,曇り,9,2,5.5,0,58,3.0,
2024-01-04,2024,1,4,木,晴れ,10,0,5,0,55,2.5,
2024-01-05,2024,1,5,金,晴れ,11,1,6,0,52,2.0,
2024-01-06,2024,1,6,土,曇り,9,3,6,0,62,3.0,
2024-01-07,2024,1,7,日,雨,8,4,6,12,75,3.5,
2024-01-08,2024,1,8,月,曇り,9,2,5.5,1,70,3.0,成人の日
2024-01-09,2024,1,9,火,晴れ,10,1,5.5,0,58,2.5,
2024-01-10,2024,1,10,水,晴れ,11,0,5.5,0,55,2.0,
2024-01-11,2024,1,11,木,晴れ,12,1,6.5,0,52,2.5,
2024-01-12,2024,1,12,金,曇り,10,3,6.5,0,60,3.0,
2024-01-13,2024,1,13,土,雪,7,2,4.5,8,80,3.5,
2024-01-14,2024,1,14,日,曇り,8,1,4.5,0,72,3.0,
2024-01-15,2024,1,15,月,晴れ,9,0,4.5,0,58,2.5,
2024-01-16,2024,1,16,火,晴れ,10,1,5.5,0,55,2.0,
2024-01-17,2024,1,17,水,晴れ,11,2,6.5,0,52,2.5,
2024-01-18,2024,1,18,木,曇り,9,3,6,0,62,3.0,
2024-01-19,2024,1,19,金,雨,8,4,6,10,75,3.5,
2024-01-20,2024,1,20,土,曇り,9,3,6,2,70,3.0,
2024-01-21,2024,1,21,日,晴れ,10,1,5.5,0,58,2.5,
2024-01-22,2024,1,22,月,晴れ,11,0,5.5,0,55,2.0,
2024-01-23,2024,1,23,火,曇り,10,2,6,0,60,3.0,
2024-01-24,2024,1,24,水,雪,7,1,4,6,78,3.5,
2024-01-25,2024,1,25,木,曇り,8,2,5,0,72,3.0,
2024-01-26,2024,1,26,金,晴れ,9,0,4.5,0,58,2.5,
2024-01-27,2024,1,27,土,晴れ,10,1,5.5,0,55,2.0,
2024-01-28,2024,1,28,日,晴れ,11,2,6.5,0,52,2.5,
2024-01-29,2024,1,29,月,曇り,10,3,6.5,0,60,3.0,
2024-01-30,2024,1,30,火,晴れ,9,1,5,0,58,2.5,
2024-01-31,2024,1,31,水,晴れ,10,0,5,0,55,2.0,
2024-02-01,2024,2,1,木,曇り,11,2,6.5,0,60,3.0,
2024-02-02,2024,2,2,金,晴れ,12,1,6.5,0,55,2.5,
2024-02-03,2024,2,3,土,晴れ,13,2,7.5,0,52,2.0,節分
2024-02-04,2024,2,4,日,曇り,11,3,7,0,62,3.0,
2024-02-05,2024,2,5,月,雨,10,5,7.5,8,75,3.5,
2024-02-06,2024,2,6,火,曇り,11,4,7.5,1,70,3.0,
2024-02-07,2024,2,7,水,晴れ,12,2,7,0,58,2.5,
2024-02-08,2024,2,8,木,晴れ,13,3,8,0,55,2.0,
2024-02-09,2024,2,9,金,晴れ,14,4,9,0,52,2.5,
2024-02-10,2024,2,10,土,曇り,12,5,8.5,0,60,3.0,
2024-02-11,2024,2,11,日,晴れ,13,3,8,0,55,2.5,建国記念の日
2024-02-12,2024,2,12,月,晴れ,14,4,9,0,52,2.0,振替休日
2024-02-13,2024,2,13,火,曇り,12,5,8.5,0,62,3.0,
2024-02-14,2024,2,14,水,晴れ,13,3,8,0,58,2.5,バレンタインデー
2024-02-15,2024,2,15,木,晴れ,14,4,9,0,55,2.0,
2024-02-16,2024,2,16,金,曇り,13,5,9,0,60,3.0,
2024-02-17,2024,2,17,土,雨,11,6,8.5,10,75,3.5,
2024-02-18,2024,2,18,日,曇り,12,5,8.5,2,70,3.0,
2024-02-19,2024,2,19,月,晴れ,13,3,8,0,58,2.5,
2024-02-20,2024,2,20,火,晴れ,14,4,9,0,55,2.0,
2024-02-21,2024,2,21,水,晴れ,15,5,10,0,52,2.5,
2024-02-22,2024,2,22,木,曇り,13,6,9.5,0,62,3.0,
2024-02-23,2024,2,23,金,晴れ,14,4,9,0,58,2.5,天皇誕生日
2024-02-24,2024,2,24,土,晴れ,15,5,10,0,55,2.0,
2024-02-25,2024,2,25,日,曇り,14,6,10,0,60,3.0,
2024-02-26,2024,2,26,月,雨,12,7,9.5,12,75,3.5,
2024-02-27,2024,2,27,火,曇り,13,6,9.5,1,70,3.0,
2024-02-28,2024,2,28,水,晴れ,14,4,9,0,58,2.5,
2024-02-29,2024,2,29,木,晴れ,15,5,10,0,55,2.0,
2024-03-01,2024,3,1,金,曇り,16,6,11,0,60,3.0,
2024-03-02,2024,3,2,土,晴れ,17,5,11,0,55,2.5,
2024-03-03,2024,3,3,日,晴れ,18,6,12,0,52,2.0,ひな祭り
2024-03-04,2024,3,4,月,曇り,16,7,11.5,0,62,3.0,
2024-03-05,2024,3,5,火,雨,15,8,11.5,10,75,3.5,
2024-03-06,2024,3,6,水,曇り,16,7,11.5,1,70,3.0,
2024-03-07,2024,3,7,木,晴れ,17,6,11.5,0,58,2.5,
2024-03-08,2024,3,8,金,晴れ,18,7,12.5,0,55,2.0,
2024-03-09,2024,3,9,土,晴れ,19,8,13.5,0,52,2.5,
2024-03-10,2024,3,10,日,曇り,17,9,13,0,60,3.0,
2024-03-11,2024,3,11,月,晴れ,18,7,12.5,0,58,2.5,
2024-03-12,2024,3,12,火,晴れ,19,8,13.5,0,55,2.0,
2024-03-13,2024,3,13,水,曇り,18,9,13.5,0,62,3.0,
2024-03-14,2024,3,14,木,雨,16,10,13,12,75,3.5,ホワイトデー
2024-03-15,2024,3,15,金,曇り,17,9,13,2,70,3.0,
2024-03-16,2024,3,16,土,晴れ,18,7,12.5,0,58,2.5,
2024-03-17,2024,3,17,日,晴れ,19,8,13.5,0,55,2.0,
2024-03-18,2024,3,18,月,晴れ,20,9,14.5,0,52,2.5,
2024-03-19,2024,3,19,火,曇り,18,10,14,0,62,3.0,
2024-03-20,2024,3,20,水,晴れ,19,8,13.5,0,58,2.5,春分の日
2024-03-21,2024,3,21,木,晴れ,20,9,14.5,0,55,2.0,
2024-03-22,2024,3,22,金,曇り,19,10,14.5,0,60,3.0,
2024-03-23,2024,3,23,土,雨,17,11,14,15,75,3.5,
2024-03-24,2024,3,24,日,曇り,18,10,14,2,70,3.0,
2024-03-25,2024,3,25,月,晴れ,19,8,13.5,0,58,2.5,
2024-03-26,2024,3,26,火,晴れ,20,9,14.5,0,55,2.0,
2024-03-27,2024,3,27,水,晴れ,21,10,15.5,0,52,2.5,
2024-03-28,2024,3,28,木,曇り,19,11,15,0,62,3.0,
2024-03-29,2024,3,29,金,晴れ,20,9,14.5,0,58,2.5,
2024-03-30,2024,3,30,土,晴れ,21,10,15.5,0,55,2.0,
2024-03-31,2024,3,31,日,曇り,20,11,15.5,0,60,3.0,
2024-04-01,2024,4,1,月,晴れ,21,10,15.5,0,55,2.5,
2024-04-02,2024,4,2,火,晴れ,22,11,16.5,0,52,2.0,
2024-04-03,2024,4,3,水,曇り,20,12,16,0,62,3.0,
2024-04-04,2024,4,4,木,雨,18,13,15.5,10,75,3.5,
2024-04-05,2024,4,5,金,曇り,19,12,15.5,1,70,3.0,
2024-04-06,2024,4,6,土,晴れ,20,10,15,0,58,2.5,
2024-04-07,2024,4,7,日,晴れ,21,11,16,0,55,2.0,
2024-04-08,2024,4,8,月,晴れ,22,12,17,0,52,2.5,
2024-04-09,2024,4,9,火,曇り,21,13,17,0,60,3.0,
2024-04-10,2024,4,10,水,晴れ,22,11,16.5,0,58,2.5,
2024-04-11,2024,4,11,木,晴れ,23,12,17.5,0,55,2.0,
2024-04-12,2024,4,12,金,曇り,22,13,17.5,0,62,3.0,
2024-04-13,2024,4,13,土,雨,20,14,17,12,75,3.5,
2024-04-14,2024,4,14,日,曇り,21,13,17,2,70,3.0,
2024-04-15,2024,4,15,月,晴れ,22,11,16.5,0,58,2.5,
2024-04-16,2024,4,16,火,晴れ,23,12,17.5,0,55,2.0,
2024-04-17,2024,4,17,水,晴れ,24,13,18.5,0,52,2.5,
2024-04-18,2024,4,18,木,曇り,22,14,18,0,62,3.0,
2024-04-19,2024,4,19,金,晴れ,23,12,17.5,0,58,2.5,
2024-04-20,2024,4,20,土,晴れ,24,13,18.5,0,55,2.0,
2024-04-21,2024,4,21,日,曇り,23,14,18.5,0,60,3.0,
2024-04-22,2024,4,22,月,雨,21,15,18,15,75,3.5,
2024-04-23,2024,4,23,火,曇り,22,14,18,2,70,3.0,
2024-04-24,2024,4,24,水,晴れ,23,12,17.5,0,58,2.5,
2024-04-25,2024,4,25,木,晴れ,24,13,18.5,0,55,2.0,
2024-04-26,2024,4,26,金,晴れ,25,14,19.5,0,52,2.5,
2024-04-27,2024,4,27,土,曇り,23,15,19,0,62,3.0,
2024-04-28,2024,4,28,日,晴れ,24,13,18.5,0,58,2.5,
2024-04-29,2024,4,29,月,晴れ,25,14,19.5,0,55,2.0,昭和の日
2024-04-30,2024,4,30,火,曇り,24,15,19.5,0,60,3.0,
2024-05-01,2024,5,1,水,晴れ,25,14,19.5,0,55,2.5,
2024-05-02,2024,5,2,木,晴れ,26,15,20.5,0,52,2.0,
2024-05-03,2024,5,3,金,晴れ,27,16,21.5,0,50,2.5,憲法記念日
2024-05-04,2024,5,4,土,晴れ,28,17,22.5,0,48,2.0,みどりの日
2024-05-05,2024,5,5,日,晴れ,27,16,21.5,0,50,2.5,こどもの日
2024-05-06,2024,5,6,月,曇り,26,17,21.5,0,60,3.0,振替休日
2024-05-07,2024,5,7,火,雨,24,18,21,10,75,3.5,
2024-05-08,2024,5,8,水,曇り,25,17,21,2,70,3.0,
2024-05-09,2024,5,9,木,晴れ,26,15,20.5,0,58,2.5,
2024-05-10,2024,5,10,金,晴れ,27,16,21.5,0,55,2.0,
2024-05-11,2024,5,11,土,晴れ,28,17,22.5,0,52,2.5,
2024-05-12,2024,5,12,日,曇り,26,18,22,0,62,3.0,
2024-05-13,2024,5,13,月,晴れ,27,16,21.5,0,58,2.5,
2024-05-14,2024,5,14,火,晴れ,28,17,22.5,0,55,2.0,
2024-05-15,2024,5,15,水,曇り,27,18,22.5,0,60,3.0,
2024-05-16,2024,5,16,木,雨,25,19,22,12,75,3.5,
2024-05-17,2024,5,17,金,曇り,26,18,22,2,70,3.0,
2024-05-18,2024,5,18,土,晴れ,27,16,21.5,0,58,2.5,
2024-05-19,2024,5,19,日,晴れ,28,17,22.5,0,55,2.0,
2024-05-20,2024,5,20,月,晴れ,29,18,23.5,0,52,2.5,
2024-05-21,2024,5,21,火,曇り,27,19,23,0,62,3.0,
2024-05-22,2024,5,22,水,晴れ,28,17,22.5,0,58,2.5,
2024-05-23,2024,5,23,木,晴れ,29,18,23.5,0,55,2.0,
2024-05-24,2024,5,24,金,曇り,28,19,23.5,0,60,3.0,
2024-05-25,2024,5,25,土,雨,26,20,23,15,75,3.5,
2024-05-26,2024,5,26,日,曇り,27,19,23,2,70,3.0,
2024-05-27,2024,5,27,月,晴れ,28,17,22.5,0,58,2.5,
2024-05-28,2024,5,28,火,晴れ,29,18,23.5,0,55,2.0,
2024-05-29,2024,5,29,水,晴れ,30,19,24.5,0,52,2.5,
2024-05-30,2024,5,30,木,曇り,28,20,24,0,62,3.0,
2024-05-31,2024,5,31,金,晴れ,29,18,23.5,0,58,2.5,
2024-06-01,2024,6,1,土,曇り,27,19,23,0,65,3.0,
2024-06-02,2024,6,2,日,雨,25,20,22.5,18,78,3.5,
2024-06-03,2024,6,3,月,曇り,26,19,22.5,2,72,3.0,
2024-06-04,2024,6,4,火,晴れ,27,18,22.5,0,62,2.5,
2024-06-05,2024,6,5,水,晴れ,28,19,23.5,0,58,2.0,
2024-06-06,2024,6,6,木,曇り,27,20,23.5,0,68,3.0,
2024-06-07,2024,6,7,金,雨,25,21,23,15,80,3.5,
2024-06-08,2024,6,8,土,曇り,26,20,23,2,75,3.0,
2024-06-09,2024,6,9,日,晴れ,27,18,22.5,0,65,2.5,
2024-06-10,2024,6,10,月,曇り,26,19,22.5,0,70,3.0,梅雨入り
2024-06-11,2024,6,11,火,雨,24,20,22,20,82,3.5,
2024-06-12,2024,6,12,水,雨,25,21,23,15,80,3.0,
2024-06-13,2024,6,13,木,曇り,26,20,23,2,75,2.5,
2024-06-14,2024,6,14,金,雨,24,21,22.5,18,82,3.5,
2024-06-15,2024,6,15,土,曇り,25,20,22.5,1,75,3.0,
2024-06-16,2024,6,16,日,晴れ,26,19,22.5,0,68,2.5,
2024-06-17,2024,6,17,月,曇り,27,20,23.5,0,72,3.0,
2024-06-18,2024,6,18,火,雨,25,21,23,22,82,3.5,
2024-06-19,2024,6,19,水,雨,24,22,23,20,85,3.0,
2024-06-20,2024,6,20,木,曇り,25,21,23,2,78,2.5,
2024-06-21,2024,6,21,金,雨,26,22,24,18,82,3.5,
2024-06-22,2024,6,22,土,曇り,27,21,24,1,75,3.0,
2024-06-23,2024,6,23,日,晴れ,28,20,24,0,68,2.5,
2024-06-24,2024,6,24,月,曇り,27,21,24,0,72,3.0,
2024-06-25,2024,6,25,火,雨,25,22,23.5,20,82,3.5,
2024-06-26,2024,6,26,水,雨,26,23,24.5,15,80,3.0,
2024-06-27,2024,6,27,木,曇り,27,22,24.5,2,75,2.5,
2024-06-28,2024,6,28,金,晴れ,28,21,24.5,0,68,2.0,
2024-06-29,2024,6,29,土,曇り,27,22,24.5,0,72,3.0,
2024-06-30,2024,6,30,日,雨,26,23,24.5,18,80,3.5,
2024-07-01,2024,7,1,月,曇り,27,22,24.5,1,75,3.0,
2024-07-02,2024,7,2,火,晴れ,28,21,24.5,0,68,2.5,
2024-07-03,2024,7,3,水,晴れ,29,22,25.5,0,65,2.0,
2024-07-04,2024,7,4,木,曇り,28,23,25.5,0,72,3.0,
2024-07-05,2024,7,5,金,雨,27,24,25.5,15,80,3.5,
2024-07-06,2024,7,6,土,曇り,28,23,25.5,2,75,3.0,
2024-07-07,2024,7,7,日,晴れ,29,22,25.5,0,68,2.5,七夕
2024-07-08,2024,7,8,月,晴れ,30,23,26.5,0,65,2.0,
2024-07-09,2024,7,9,火,曇り,29,24,26.5,0,72,3.0,
2024-07-10,2024,7,10,水,雨,27,25,26,18,82,3.5,
2024-07-11,2024,7,11,木,曇り,28,24,26,2,78,3.0,
2024-07-12,2024,7,12,金,晴れ,29,23,26,0,68,2.5,
2024-07-13,2024,7,13,土,晴れ,30,24,27,0,65,2.0,
2024-07-14,2024,7,14,日,晴れ,31,25,28,0,62,2.5,
2024-07-15,2024,7,15,月,曇り,30,26,28,0,70,3.0,海の日
2024-07-16,2024,7,16,火,晴れ,31,24,27.5,0,65,2.5,
2024-07-17,2024,7,17,水,晴れ,32,25,28.5,0,62,2.0,
2024-07-18,2024,7,18,木,晴れ,33,26,29.5,0,60,2.5,
2024-07-19,2024,7,19,金,曇り,31,27,29,0,68,3.0,
2024-07-20,2024,7,20,土,晴れ,32,25,28.5,0,65,2.5,
2024-07-21,2024,7,21,日,晴れ,33,26,29.5,0,62,2.0,
2024-07-22,2024,7,22,月,晴れ,34,27,30.5,0,60,2.5,
2024-07-23,2024,7,23,火,晴れ,33,26,29.5,0,62,2.0,
2024-07-24,2024,7,24,水,曇り,32,27,29.5,0,68,3.0,
2024-07-25,2024,7,25,木,晴れ,33,26,29.5,0,65,2.5,
2024-07-26,2024,7,26,金,晴れ,34,27,30.5,0,62,2.0,
2024-07-27,2024,7,27,土,晴れ,35,28,31.5,0,60,2.5,
2024-07-28,2024,7,28,日,晴れ,34,27,30.5,0,62,2.0,
2024-07-29,2024,7,29,月,曇り,33,28,30.5,0,68,3.0,
2024-07-30,2024,7,30,火,晴れ,34,27,30.5,0,65,2.5,
2024-07-31,2024,7,31,水,晴れ,35,28,31.5,0,62,2.0,
2024-08-01,2024,8,1,木,晴れ,34,27,30.5,0,65,2.5,
2024-08-02,2024,8,2,金,晴れ,35,28,31.5,0,62,2.0,
2024-08-03,2024,8,3,土,晴れ,36,29,32.5,0,60,2.5,
2024-08-04,2024,8,4,日,晴れ,35,28,31.5,0,62,2.0,
2024-08-05,2024,8,5,月,曇り,34,29,31.5,0,68,3.0,
2024-08-06,2024,8,6,火,晴れ,35,28,31.5,0,65,2.5,
2024-08-07,2024,8,7,水,晴れ,36,29,32.5,0,62,2.0,
2024-08-08,2024,8,8,木,晴れ,37,30,33.5,0,60,2.5,
2024-08-09,2024,8,9,金,晴れ,36,29,32.5,0,62,2.0,
2024-08-10,2024,8,10,土,曇り,35,30,32.5,0,68,3.0,
2024-08-11,2024,8,11,日,晴れ,36,29,32.5,0,65,2.5,山の日
2024-08-12,2024,8,12,月,晴れ,37,30,33.5,0,62,2.0,振替休日
2024-08-13,2024,8,13,火,晴れ,36,29,32.5,0,65,2.5,
2024-08-14,2024,8,14,水,曇り,35,30,32.5,0,70,3.0,
2024-08-15,2024,8,15,木,晴れ,36,29,32.5,0,65,2.5,
2024-08-16,2024,8,16,金,晴れ,37,30,33.5,0,62,2.0,
2024-08-17,2024,8,17,土,晴れ,36,29,32.5,0,65,2.5,
2024-08-18,2024,8,18,日,曇り,35,30,32.5,0,70,3.0,
2024-08-19,2024,8,19,月,晴れ,36,29,32.5,0,65,2.5,
2024-08-20,2024,8,20,火,晴れ,35,28,31.5,0,68,2.0,
2024-08-21,2024,8,21,水,曇り,34,29,31.5,0,72,3.0,
2024-08-22,2024,8,22,木,雨,32,28,30,10,80,3.5,
2024-08-23,2024,8,23,金,曇り,33,27,30,2,75,3.0,
2024-08-24,2024,8,24,土,晴れ,34,28,31,0,68,2.5,
2024-08-25,2024,8,25,日,晴れ,35,29,32,0,65,2.0,
2024-08-26,2024,8,26,月,曇り,33,28,30.5,0,70,3.0,
2024-08-27,2024,8,27,火,晴れ,34,27,30.5,0,65,2.5,
2024-08-28,2024,8,28,水,晴れ,33,26,29.5,0,68,2.0,
2024-08-29,2024,8,29,木,曇り,32,27,29.5,0,72,3.0,
2024-08-30,2024,8,30,金,雨,30,26,28,12,78,3.5,
2024-08-31,2024,8,31,土,曇り,31,25,28,2,75,3.0,
2024-09-01,2024,9,1,日,晴れ,32,26,29,0,68,2.5,
2024-09-02,2024,9,2,月,晴れ,31,25,28,0,65,2.0,
2024-09-03,2024,9,3,火,曇り,30,26,28,0,70,3.0,
2024-09-04,2024,9,4,水,雨,28,25,26.5,15,78,3.5,
2024-09-05,2024,9,5,木,曇り,29,24,26.5,2,75,3.0,
2024-09-06,2024,9,6,金,晴れ,30,23,26.5,0,68,2.5,
2024-09-07,2024,9,7,土,晴れ,31,24,27.5,0,65,2.0,
2024-09-08,2024,9,8,日,曇り,29,25,27,0,70,3.0,
2024-09-09,2024,9,9,月,晴れ,30,23,26.5,0,68,2.5,
2024-09-10,2024,9,10,火,晴れ,29,22,25.5,0,65,2.0,
2024-09-11,2024,9,11,水,曇り,28,23,25.5,0,72,3.0,
2024-09-12,2024,9,12,木,雨,27,24,25.5,18,78,3.5,
2024-09-13,2024,9,13,金,曇り,28,23,25.5,2,75,3.0,
2024-09-14,2024,9,14,土,晴れ,29,22,25.5,0,68,2.5,
2024-09-15,2024,9,15,日,晴れ,28,21,24.5,0,65,2.0,
2024-09-16,2024,9,16,月,晴れ,27,20,23.5,0,68,2.5,敬老の日
2024-09-17,2024,9,17,火,曇り,28,22,25,0,72,3.0,
2024-09-18,2024,9,18,水,晴れ,27,21,24,0,68,2.5,
2024-09-19,2024,9,19,木,晴れ,26,20,23,0,65,2.0,
2024-09-20,2024,9,20,金,曇り,27,22,24.5,0,70,3.0,
2024-09-21,2024,9,21,土,雨,25,23,24,12,78,3.5,
2024-09-22,2024,9,22,日,曇り,26,22,24,2,75,3.0,秋分の日
2024-09-23,2024,9,23,月,晴れ,27,21,24,0,68,2.5,振替休日
2024-09-24,2024,9,24,火,晴れ,26,20,23,0,65,2.0,
2024-09-25,2024,9,25,水,曇り,25,21,23,0,72,3.0,
2024-09-26,2024,9,26,木,晴れ,26,19,22.5,0,68,2.5,
2024-09-27,2024,9,27,金,晴れ,25,18,21.5,0,65,2.0,
2024-09-28,2024,9,28,土,曇り,24,20,22,0,70,3.0,
2024-09-29,2024,9,29,日,晴れ,25,18,21.5,0,68,2.5,
2024-09-30,2024,9,30,月,晴れ,24,17,20.5,0,65,2.0,
2024-10-01,2024,10,1,火,曇り,23,19,21,0,72,3.0,
2024-10-02,2024,10,2,水,晴れ,24,17,20.5,0,68,2.5,
2024-10-03,2024,10,3,木,晴れ,23,16,19.5,0,65,2.0,
2024-10-04,2024,10,4,金,曇り,22,18,20,0,72,3.0,
2024-10-05,2024,10,5,土,雨,21,19,20,10,78,3.5,
2024-10-06,2024,10,6,日,曇り,22,18,20,2,75,3.0,
2024-10-07,2024,10,7,月,晴れ,23,16,19.5,0,68,2.5,
2024-10-08,2024,10,8,火,晴れ,24,17,20.5,0,65,2.0,
2024-10-09,2024,10,9,水,曇り,22,18,20,0,72,3.0,
2024-10-10,2024,10,10,木,晴れ,23,16,19.5,0,68,2.5,
2024-10-11,2024,10,11,金,晴れ,22,15,18.5,0,65,2.0,
2024-10-12,2024,10,12,土,曇り,21,17,19,0,72,3.0,
2024-10-13,2024,10,13,日,晴れ,22,15,18.5,0,68,2.5,
2024-10-14,2024,10,14,月,晴れ,21,14,17.5,0,65,2.0,スポーツの日
2024-10-15,2024,10,15,火,曇り,20,16,18,0,72,3.0,
2024-10-16,2024,10,16,水,雨,19,17,18,12,78,3.5,
2024-10-17,2024,10,17,木,曇り,20,16,18,2,75,3.0,
2024-10-18,2024,10,18,金,晴れ,21,14,17.5,0,68,2.5,
2024-10-19,2024,10,19,土,晴れ,22,15,18.5,0,65,2.0,
2024-10-20,2024,10,20,日,曇り,20,16,18,0,72,3.0,
2024-10-21,2024,10,21,月,晴れ,21,14,17.5,0,68,2.5,
2024-10-22,2024,10,22,火,晴れ,20,13,16.5,0,65,2.0,
2024-10-23,2024,10,23,水,曇り,19,15,17,0,72,3.0,
2024-10-24,2024,10,24,木,晴れ,20,13,16.5,0,68,2.5,
2024-10-25,2024,10,25,金,晴れ,19,12,15.5,0,65,2.0,
2024-10-26,2024,10,26,土,曇り,18,14,16,0,72,3.0,
2024-10-27,2024,10,27,日,晴れ,19,12,15.5,0,68,2.5,
2024-10-28,2024,10,28,月,晴れ,18,11,14.5,0,65,2.0,
2024-10-29,2024,10,29,火,曇り,17,13,15,0,72,3.0,
2024-10-30,2024,10,30,水,晴れ,18,11,14.5,0,68,2.5,
2024-10-31,2024,10,31,木,晴れ,17,10,13.5,0,65,2.0,ハロウィン
